kmer	event_sum	flk_behaviour	my0_intactk_sum	my1_intactk_sum	otherk	my0_otherk_sum	my1_otherk_sum	event
kmer9150	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 3618497 3619806 3621114 3621114 3622422 3623731  | StartL_sd: 3701  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	StartL_stat: 3619546 3621648 3622694 3623607 3625052 3628998  | StartL_sd: 2650  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	mv&flp	StartL_stat: 431764 431810 431811 432396 432858 434958  | StartL_sd: 890  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 3188747 3190877 3191938 3192475 3193481 3198231	StartL_stat: 431810 431810 431810 431810 431811 431811  | StartL_sd: 1  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 3189853 3190632 3191411 3191411 3192190 3192969	inversion
kmer9146	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 2556360 2558196 2560032 2560032 2561869 2563705  | StartL_sd: 5194  | StartR_stat: 2550354 2552190 2554026 2554026 2555863 2557699  | StartR_sd: 5194  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	StartL_stat: 2559512 2560560 2561606 2562260 2563702 2565809  | StartL_sd: 1984  | StartR_stat: 2553506 2554554 2555600 2556188 2557696 2559803  | StartR_sd: 1874  | flk_dist_stat: 5927 5927 5927 5993 5927 6976	mv&flp	StartL_stat: 1492877 1493399 1493950 1494569 1495000 1498162  | StartL_sd: 1578  | StartR_stat: 2499627 2500675 2502725 2502442 2503817 2505940  | StartR_sd: 1853  | flk_dist_stat: 1005479 1007330 1007594 1007690 1008638 1009699	StartL_stat: 1493947 1493953 1493960 1493960 1493966 1493972  | StartL_sd: 18  | StartR_stat: 2501720 2501728 2501735 2501735 2501742 2501750  | StartR_sd: 21  | flk_dist_stat: 1007590 1007591 1007592 1007592 1007594 1007595	inversion
kmer9145	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1492877 1493399 1493950 1494569 1495000 1498162  | StartL_sd: 1578  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1493947 1493953 1493960 1493960 1493966 1493972  | StartL_sd: 18  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 2556360 2558196 2560032 2560032 2561869 2563705  | StartL_sd: 5194  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 1002394 1003708 1005022 1005022 1006336 1007650	StartL_stat: 2559512 2560560 2561606 2562260 2563702 2565809  | StartL_sd: 1984  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 1004503 1005546 1005552 1005814 1006595 1007651	inversion
kmer9117	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 431866 431912 431913 432498 432960 435060  | StartL_sd: 890  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 431912 431912 431912 431912 431913 431913  | StartL_sd: 1  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 3618395 3619704 3621012 3621012 3622320 3623629  | StartL_sd: 3701  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 3188674 3189720 3190767 3190767 3191814 3192860	StartL_stat: 3619444 3621546 3622592 3623505 3624950 3628896  | StartL_sd: 2650  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 3189724 3191819 3192348 3193195 3194440 3198125	inversion
kmer9102	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3619448 3620996 3622565 3622678 3623676 3627890  | StartL_sd: 2270  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3619509 3620288 3621068 3621068 3621847 3622626  | StartL_sd: 2204  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 431873 432135 432397 432397 432659 432921  | StartL_sd: 741  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 3188715 3189762 3190808 3190808 3191854 3192901	StartL_stat: 431871 431873 432394 432462 432921 433965  | StartL_sd: 659  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 3189765 3191860 3192389 3193236 3194481 3198166	inversion
kmer9100	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 2550219 2552055 2553892 2553892 2555728 2557564  | StartL_sd: 5194  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	StartL_stat: 2553371 2554419 2555466 2556053 2557561 2559668  | StartL_sd: 1874  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 5927 5927 5927 5993 5927 6976	mv&flp	StartL_stat: 2499492 2500540 2502590 2502307 2503682 2505805  | StartL_sd: 1853  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 1005448 1007298 1007563 1007659 1008607 1009668	StartL_stat: 2501585 2501592 2501600 2501600 2501608 2501615  | StartL_sd: 21  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 1007559 1007560 1007562 1007562 1007563 1007564	inversion
kmer9099	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 2499492 2500540 2502590 2502307 2503682 2505805  | StartL_sd: 1853  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 5922 5927 5927 5926 5927 5932	StartL_stat: 2501585 2501592 2501600 2501600 2501608 2501615  | StartL_sd: 21  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	mv&flp	StartL_stat: 2550219 2552055 2553892 2553892 2555728 2557564  | StartL_sd: 5194  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 1005453 1006767 1008081 1008081 1009395 1010709	StartL_stat: 2553371 2554419 2555466 2556053 2557561 2559668  | StartL_sd: 1874  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 1007562 1008604 1008610 1008872 1008875 1011759	inversion
kmer9071	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 2499505 2500553 2502603 2502320 2503695 2505818  | StartL_sd: 1853  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 5922 5927 5927 5926 5927 5932	StartL_stat: 2501598 2501606 2501613 2501613 2501620 2501628  | StartL_sd: 21  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	mv&flp	StartL_stat: 2550232 2552068 2553904 2553904 2555741 2557577  | StartL_sd: 5194  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 1005466 1006780 1008094 1008094 1009408 1010722	StartL_stat: 2553384 2554432 2555478 2556066 2557574 2559681  | StartL_sd: 1874  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 1007575 1008617 1008624 1008885 1008888 1011772	inversion
kmer9066	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1502119 1502646 1503197 1503816 1504247 1507409  | StartL_sd: 1579  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1503194 1503200 1503206 1503206 1503213 1503219  | StartL_sd: 18  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 1553934 1554456 1554978 1554978 1555501 1556023  | StartL_sd: 1477  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 1002347 1003661 1004975 1004975 1006289 1007603	StartL_stat: 1554972 1554980 1556020 1556414 1557329 1559164  | StartL_sd: 1475  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 1004456 1005500 1005506 1005767 1006548 1007604	inversion
kmer9065	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1553934 1554456 1554978 1554978 1555501 1556023  | StartL_sd: 1477  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1554972 1554980 1556020 1556414 1557329 1559164  | StartL_sd: 1475  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 1502119 1502646 1503197 1503816 1504247 1507409  | StartL_sd: 1579  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 1002343 1004192 1004457 1004553 1005501 1006562	StartL_stat: 1503194 1503200 1503206 1503206 1503213 1503219  | StartL_sd: 18  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 1004453 1004454 1004456 1004456 1004457 1004458	inversion
kmer9047	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1544636 1545158 1545680 1545680 1546203 1546725  | StartL_sd: 1477  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1545674 1545682 1546722 1547051 1547774 1549866  | StartL_sd: 1416  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 2505684 2506730 2508782 2508498 2509869 2511997  | StartL_sd: 1853  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 1002441 1004290 1004555 1004651 1005599 1006660	StartL_stat: 2507777 2507784 2507792 2507792 2507800 2507807  | StartL_sd: 21  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 1004551 1004552 1004554 1004554 1004555 1004556	inversion
kmer9043	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 431881 432143 432405 432405 432667 432929  | StartL_sd: 741  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 431879 431881 432402 432470 432929 433973  | StartL_sd: 659  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 3619440 3620988 3622557 3622670 3623668 3627882  | StartL_sd: 2270  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 3188674 3190804 3191865 3192363 3193408 3198158	StartL_stat: 3619501 3620280 3621060 3621060 3621839 3622618  | StartL_sd: 2204  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 3189780 3190559 3191338 3191338 3192117 3192896	inversion
kmer9042	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3619440 3620988 3622557 3622670 3623668 3627882  | StartL_sd: 2270  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3619501 3620280 3621060 3621060 3621839 3622618  | StartL_sd: 2204  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 431881 432143 432405 432405 432667 432929  | StartL_sd: 741  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 3188707 3189754 3190800 3190800 3191846 3192893	StartL_stat: 431879 431881 432402 432470 432929 433973  | StartL_sd: 659  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 3189757 3191852 3192381 3193228 3194473 3198158	inversion
kmer9030	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 431917 432179 432441 432441 432703 432965  | StartL_sd: 741  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 431915 431917 432438 432506 432965 434009  | StartL_sd: 659  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 3619404 3620952 3622521 3622634 3623632 3627846  | StartL_sd: 2270  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 3188638 3190768 3191829 3192327 3193372 3198122	StartL_stat: 3619465 3620244 3621024 3621024 3621803 3622582  | StartL_sd: 2204  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 3189744 3190523 3191302 3191302 3192081 3192860	inversion
kmer9029	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3619404 3620952 3622521 3622634 3623632 3627846  | StartL_sd: 2270  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3619465 3620244 3621024 3621024 3621803 3622582  | StartL_sd: 2204  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 431917 432179 432441 432441 432703 432965  | StartL_sd: 741  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 3188671 3189718 3190764 3190764 3191810 3192857	StartL_stat: 431915 431917 432438 432506 432965 434009  | StartL_sd: 659  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 3189721 3191816 3192345 3193192 3194437 3198122	inversion
kmer9010	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 431909 432171 432433 432433 432695 432957  | StartL_sd: 741  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 431907 431909 432430 432498 432957 434001  | StartL_sd: 659  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 3619412 3620960 3622529 3622642 3623640 3627854  | StartL_sd: 2270  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 3188646 3190776 3191837 3192335 3193380 3198130	StartL_stat: 3619473 3620252 3621032 3621032 3621811 3622590  | StartL_sd: 2204  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 3189752 3190531 3191310 3191310 3192089 3192868	inversion
kmer9009	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 429532 429578 429579 430164 430626 432726  | StartL_sd: 890  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 429578 429578 429578 429578 429579 429579  | StartL_sd: 1  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 429578 429840 430102 430102 430364 430626  | StartL_sd: 741  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 3188767 3189814 3190860 3190860 3191906 3192953	StartL_stat: 429576 429578 430099 430167 430626 431670  | StartL_sd: 659  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 3189817 3191912 3192441 3193288 3194533 3198218	inversion
kmer9008	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 429578 429840 430102 430102 430364 430626  | StartL_sd: 741  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 429576 429578 430099 430167 430626 431670  | StartL_sd: 659  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 429532 429578 429579 430164 430626 432726  | StartL_sd: 890  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 3188741 3190871 3191932 3192430 3193475 3198225	StartL_stat: 429578 429578 429578 429578 429579 429579  | StartL_sd: 1  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 3189847 3190626 3191405 3191405 3192184 3192963	inversion
kmer9007	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1553860 1554382 1554904 1554904 1555427 1555949  | StartL_sd: 1477  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1554898 1554906 1555946 1556340 1557255 1559090  | StartL_sd: 1475  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 1502045 1502572 1503123 1503742 1504173 1507335  | StartL_sd: 1579  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 1002417 1004266 1004531 1004627 1005575 1006636	StartL_stat: 1503120 1503126 1503132 1503132 1503139 1503145  | StartL_sd: 18  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 1004527 1004528 1004530 1004530 1004531 1004532	inversion
kmer9003	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 3620731 3622040 3623348 3623348 3624656 3625965  | StartL_sd: 3701  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	StartL_stat: 3621780 3623882 3624928 3625841 3627286 3631232  | StartL_sd: 2650  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	mv&flp	StartL_stat: 3621745 3623293 3624862 3625014 3625977 3630187  | StartL_sd: 2297  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 3188738 3190868 3191929 3192466 3193472 3198222	StartL_stat: 3621806 3622585 3623364 3623364 3624144 3624923  | StartL_sd: 2204  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 3189844 3190623 3191402 3191402 3192181 3192960	inversion
kmer9002	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3621745 3623293 3624862 3625014 3625977 3630187  | StartL_sd: 2297  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3621806 3622585 3623364 3623364 3624144 3624923  | StartL_sd: 2204  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 3620731 3622040 3623348 3623348 3624656 3625965  | StartL_sd: 3701  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 3188774 3189820 3190867 3190867 3191914 3192960	StartL_stat: 3621780 3623882 3624928 3625841 3627286 3631232  | StartL_sd: 2650  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 3189824 3191919 3192448 3193295 3194540 3198225	inversion
kmer8993	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1544711 1545233 1545756 1545756 1546278 1546800  | StartL_sd: 1477  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1545749 1545758 1546798 1547126 1547849 1549941  | StartL_sd: 1416  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 2505609 2506654 2508707 2508423 2509794 2511922  | StartL_sd: 1853  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 1002366 1004215 1004480 1004576 1005524 1006585	StartL_stat: 2507702 2507710 2507717 2507717 2507724 2507732  | StartL_sd: 21  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 1004476 1004477 1004478 1004478 1004480 1004481	inversion
kmer8983	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 429522 429568 429569 430154 430616 432716  | StartL_sd: 890  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 429568 429568 429568 429568 429569 429569  | StartL_sd: 1  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 429568 429830 430092 430092 430354 430616  | StartL_sd: 741  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 3188777 3189824 3190870 3190870 3191916 3192963	StartL_stat: 429566 429568 430089 430157 430616 431660  | StartL_sd: 659  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 3189827 3191922 3192451 3193298 3194543 3198228	inversion
kmer8982	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 429568 429830 430092 430092 430354 430616  | StartL_sd: 741  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 429566 429568 430089 430157 430616 431660  | StartL_sd: 659  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 429522 429568 429569 430154 430616 432716  | StartL_sd: 890  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 3188751 3190881 3191942 3192440 3193485 3198235	StartL_stat: 429568 429568 429568 429568 429569 429569  | StartL_sd: 1  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 3189857 3190636 3191415 3191415 3192194 3192973	inversion
kmer8972	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1502052 1502579 1503130 1503749 1504180 1507342  | StartL_sd: 1579  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1503127 1503133 1503140 1503140 1503146 1503152  | StartL_sd: 18  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 1553867 1554389 1554912 1554912 1555434 1555956  | StartL_sd: 1477  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 1002414 1003728 1005042 1005042 1006356 1007670	StartL_stat: 1554905 1554914 1555954 1556347 1557262 1559097  | StartL_sd: 1475  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 1004523 1005566 1005572 1005834 1006615 1007671	inversion
